,Instanz,Makespan
0,0,903
1,1,846
2,2,917
3,3,828
4,4,898
5,5,940
6,6,873
7,7,891
8,8,865
9,9,1057
10,10,880
11,11,1108
12,12,922
13,13,877
14,14,941
15,15,925
16,16,878
17,17,994
18,18,941
19,19,844
20,20,920
21,21,1048
22,22,954
23,23,885
24,24,871
25,25,949
26,26,1046
27,27,1033
28,28,1039
29,29,917
30,30,884
31,31,900
32,32,873
33,33,983
34,34,1151
35,35,932
36,36,1003
37,37,952
38,38,1045
39,39,839
40,40,849
41,41,1042
42,42,885
43,43,911
44,44,970
45,45,1125
46,46,987
47,47,1056
48,48,813
49,49,832
50,50,953
51,51,946
52,52,898
53,53,922
54,54,986
55,55,878
56,56,963
57,57,918
58,58,957
59,59,944
60,60,914
61,61,785
62,62,1010
63,63,700
64,64,808
65,65,944
66,66,969
67,67,908
68,68,851
69,69,964
70,70,1016
71,71,1010
72,72,919
73,73,879
74,74,782
75,75,999
76,76,841
77,77,898
78,78,975
79,79,1006
80,80,991
81,81,802
82,82,1084
83,83,926
84,84,959
85,85,840
86,86,905
87,87,864
88,88,985
89,89,977
90,90,852
91,91,828
92,92,1029
93,93,915
94,94,925
95,95,1038
96,96,956
97,97,914
98,98,984
99,99,846
100,100,1202
101,101,1205
102,102,1310
103,103,1125
104,104,1428
105,105,1193
106,106,1159
107,107,1273
108,108,1162
109,109,1154
110,110,1103
111,111,1114
112,112,1262
113,113,1178
114,114,1195
115,115,1182
116,116,1120
117,117,1058
118,118,1129
119,119,1285
120,120,1121
121,121,1291
122,122,1124
123,123,1263
124,124,1150
125,125,1155
126,126,1069
127,127,1250
128,128,1231
129,129,954
130,130,1084
131,131,1159
132,132,1078
133,133,1145
134,134,1067
135,135,1188
136,136,1376
137,137,1180
138,138,1279
139,139,1260
140,140,1226
141,141,1166
142,142,1163
143,143,1220
144,144,1111
145,145,1097
146,146,1090
147,147,1102
148,148,1189
149,149,1226
150,150,1256
151,151,1206
152,152,1178
153,153,1140
154,154,1137
155,155,1129
156,156,1044
157,157,1071
158,158,1249
159,159,1258
160,160,1130
161,161,1138
162,162,1103
163,163,1051
164,164,1265
165,165,1228
166,166,1185
167,167,1161
168,168,1150
169,169,1253
170,170,1038
171,171,1179
172,172,1092
173,173,1241
174,174,1248
175,175,1061
176,176,1247
177,177,1130
178,178,1178
179,179,1273
180,180,1269
181,181,1192
182,182,1161
183,183,1094
184,184,1302
185,185,1308
186,186,1265
187,187,1099
188,188,1100
189,189,1048
190,190,1227
191,191,1373
192,192,1145
193,193,1126
194,194,1177
195,195,1119
196,196,1170
197,197,1185
198,198,1080
199,199,1286
200,200,1498
201,201,1474
202,202,1345
203,203,1631
204,204,1531
205,205,1440
206,206,1513
207,207,1330
208,208,1558
209,209,1467
210,210,1419
211,211,1550
212,212,1445
213,213,1438
214,214,1380
215,215,1603
216,216,1368
217,217,1388
218,218,1416
219,219,1337
220,220,1318
221,221,1370
222,222,1366
223,223,1378
224,224,1389
225,225,1413
226,226,1518
227,227,1250
228,228,1217
229,229,1442
230,230,1441
231,231,1391
232,232,1431
233,233,1525
234,234,1442
235,235,1455
236,236,1587
237,237,1296
238,238,1482
239,239,1365
240,240,1409
241,241,1461
242,242,1452
243,243,1362
244,244,1442
245,245,1506
246,246,1310
247,247,1504
248,248,1308
249,249,1369
250,250,1308
251,251,1283
252,252,1692
253,253,1472
254,254,1542
255,255,1511
256,256,1322
257,257,1348
258,258,1691
259,259,1426
260,260,1464
261,261,1536
262,262,1379
263,263,1407
264,264,1310
265,265,1302
266,266,1480
267,267,1355
268,268,1314
269,269,1386
270,270,1512
271,271,1487
272,272,1375
273,273,1431
274,274,1321
275,275,1592
276,276,1314
277,277,1424
278,278,1488
279,279,1284
280,280,1297
281,281,1516
282,282,1409
283,283,1413
284,284,1500
285,285,1306
286,286,1433
287,287,1389
288,288,1380
289,289,1473
290,290,1411
291,291,1406
292,292,1299
293,293,1516
294,294,1474
295,295,1246
296,296,1470
297,297,1459
298,298,1263
299,299,1537
300,300,1972
301,301,1891
302,302,1941
303,303,1801
304,304,1845
305,305,1699
306,306,1823
307,307,1930
308,308,2303
309,309,1994
310,310,1960
311,311,1922
312,312,2041
313,313,1849
314,314,1972
315,315,2268
316,316,1811
317,317,1767
318,318,1848
319,319,2042
320,320,2023
321,321,1880
322,322,1830
323,323,2169
324,324,1997
325,325,1861
326,326,1943
327,327,1979
328,328,1831
329,329,1997
330,330,1931
331,331,1915
332,332,1985
333,333,2012
334,334,1767
335,335,1899
336,336,1932
337,337,1946
338,338,1975
339,339,1841
340,340,2191
341,341,1960
342,342,1924
343,343,1979
344,344,2035
345,345,1919
346,346,1785
347,347,1821
348,348,1868
349,349,1842
350,350,1791
351,351,1934
352,352,2148
353,353,1753
354,354,1927
355,355,1960
356,356,2009
357,357,1994
358,358,1893
359,359,1970
360,360,1761
361,361,1914
362,362,1798
363,363,2020
364,364,2007
365,365,2073
366,366,1820
367,367,2162
368,368,1927
369,369,2063
370,370,2151
371,371,1673
372,372,1777
373,373,2023
374,374,1924
375,375,1754
376,376,1950
377,377,1864
378,378,1852
379,379,2106
380,380,1859
381,381,2005
382,382,1996
383,383,1930
384,384,2051
385,385,2070
386,386,1884
387,387,2163
388,388,1983
389,389,2182
390,390,2027
391,391,2025
392,392,2034
393,393,2051
394,394,1856
395,395,1756
396,396,1982
397,397,1975
398,398,2076
399,399,2007
400,400,2413
401,401,2402
402,402,2488
403,403,2375
404,404,2356
405,405,2211
406,406,2466
407,407,2533
408,408,2316
409,409,2314
410,410,2476
411,411,2552
412,412,2574
413,413,2410
414,414,2545
415,415,2509
416,416,2304
417,417,2387
418,418,2610
419,419,2359
420,420,2349
421,421,2537
422,422,2290
423,423,2343
424,424,2438
425,425,2525
426,426,2442
427,427,2346
428,428,2727
429,429,2446
430,430,2300
431,431,2574
432,432,2488
433,433,2499
434,434,2577
435,435,2364
436,436,2493
437,437,2396
438,438,2477
439,439,2368
440,440,2573
441,441,2399
442,442,2434
443,443,2380
444,444,2527
445,445,2462
446,446,2407
447,447,2581
448,448,2251
449,449,2884
450,450,2502
451,451,2447
452,452,2397
453,453,2485
454,454,2215
455,455,2367
456,456,2328
457,457,2423
458,458,2460
459,459,2174
460,460,2787
461,461,2293
462,462,2330
463,463,2425
464,464,2429
465,465,2350
466,466,2410
467,467,2299
468,468,2676
469,469,2417
470,470,2415
471,471,2607
472,472,2184
473,473,2451
474,474,2787
475,475,2538
476,476,2253
477,477,2608
478,478,2502
479,479,2452
480,480,2636
481,481,2377
482,482,2268
483,483,3001
484,484,2421
485,485,2374
486,486,2399
487,487,2294
488,488,2560
489,489,2326
490,490,2742
491,491,2355
492,492,2692
493,493,2246
494,494,2428
495,495,2421
496,496,2357
497,497,2632
498,498,2315
499,499,2563
500,500,3058
501,501,2992
502,502,2991
503,503,3095
504,504,3314
505,505,3083
506,506,2779
507,507,2881
508,508,2861
509,509,2940
510,510,3171
511,511,2854
512,512,2783
513,513,3090
514,514,2974
515,515,3074
516,516,2961
517,517,2900
518,518,2977
519,519,2904
520,520,2949
521,521,2858
522,522,2850
523,523,2961
524,524,2836
525,525,2990
526,526,2917
527,527,2801
528,528,2885
529,529,3042
530,530,3088
531,531,3065
532,532,2958
533,533,2893
534,534,3264
535,535,3004
536,536,2893
537,537,3121
538,538,2913
539,539,2818
540,540,3096
541,541,3030
542,542,2855
543,543,2915
544,544,3097
545,545,2953
546,546,2886
547,547,3042
548,548,2745
549,549,3067
550,550,2958
551,551,2963
552,552,2965
553,553,2750
554,554,3094
555,555,2879
556,556,3176
557,557,2813
558,558,3069
559,559,2917
560,560,2961
561,561,3030
562,562,3264
563,563,3143
564,564,3058
565,565,3121
566,566,2919
567,567,2932
568,568,3022
569,569,3264
570,570,3236
571,571,2743
572,572,3097
573,573,2964
574,574,3204
575,575,3312
576,576,3167
577,577,2978
578,578,2967
579,579,2957
580,580,3121
581,581,3136
582,582,3079
583,583,3013
584,584,2962
585,585,2902
586,586,2813
587,587,2739
588,588,2805
589,589,2966
