,Instanz,Makespan
0,0,1502
1,1,1388
2,2,1452
3,3,1386
4,4,1403
5,5,1451
6,6,1480
7,7,1577
8,8,1480
9,9,1473
10,10,1766
11,11,1639
12,12,1693
13,13,1629
14,14,1596
15,15,1619
16,16,1701
17,17,1847
18,18,1675
19,19,1631
20,20,2080
21,21,1932
22,22,1805
23,23,1909
24,24,1950
25,25,1934
26,26,2005
27,27,2015
28,28,1980
29,29,1939
30,30,2227
31,31,2348
32,32,2395
33,33,2245
34,34,2327
35,35,2318
36,36,2257
37,37,1937
38,38,2353
39,39,2140
40,40,2647
41,41,2429
42,42,2507
43,43,2536
44,44,2478
45,45,2516
46,46,2286
47,47,2459
48,48,2507
49,49,2486
50,50,3496
51,51,3452
52,52,3066
53,53,3270
54,54,3353
55,55,3187
56,56,3505
57,57,3400
58,58,3280
59,59,3228
60,60,3495
61,61,3488
62,62,3310
63,63,3444
64,64,3431
65,65,3362
66,66,3452
67,67,3199
68,68,3640
69,69,3544
70,70,6307
71,71,5885
72,72,6377
73,73,5963
74,74,6271
75,75,6207
76,76,6214
77,77,6125
78,78,5900
79,79,5860
