,Instanz,Makespan
0,0.0,1087.0
1,1.0,1069.0
2,2.0,1105.0
3,3.0,1163.0
4,4.0,1216.0
5,5.0,958.0
6,6.0,1107.0
7,7.0,1035.0
8,8.0,1146.0
9,9.0,1183.0
10,10.0,1279.0
11,11.0,1348.0
12,12.0,1310.0
13,13.0,1287.0
14,14.0,1257.0
15,15.0,1246.0
16,16.0,1248.0
17,17.0,1246.0
18,18.0,1174.0
19,19.0,1237.0
20,20.0,1461.0
21,21.0,1525.0
22,22.0,1440.0
23,23.0,1502.0
24,24.0,1438.0
25,25.0,1574.0
26,26.0,1427.0
27,27.0,1549.0
28,28.0,1524.0
29,29.0,1479.0
30,30.0,2030.0
31,31.0,1720.0
32,32.0,1852.0
33,33.0,1807.0
34,34.0,1945.0
35,35.0,1964.0
36,36.0,2001.0
37,37.0,1993.0
38,38.0,1999.0
39,39.0,1804.0
40,40.0,2184.0
41,41.0,2170.0
42,42.0,2200.0
43,43.0,2147.0
44,44.0,2248.0
45,45.0,2109.0
46,46.0,2252.0
47,47.0,2149.0
48,48.0,2303.0
49,49.0,2111.0
50,50.0,2535.0
51,51.0,2382.0
52,52.0,2586.0
53,53.0,2522.0
54,54.0,2745.0
55,55.0,2489.0
56,56.0,2559.0
57,57.0,2551.0
58,58.0,2680.0
59,59.0,2578.0
60,60.0,2779.0
61,61.0,2644.0
62,62.0,2853.0
63,63.0,2917.0
64,64.0,2751.0
65,65.0,2904.0
66,66.0,2847.0
67,67.0,2695.0
68,68.0,2787.0
69,69.0,2626.0
70,70.0,3154.0
71,71.0,2925.0
72,72.0,2884.0
73,73.0,3153.0
74,74.0,3266.0
75,75.0,2872.0
76,76.0,3118.0
77,77.0,3317.0
78,78.0,3066.0
79,79.0,2963.0
80,80.0,3493.0
81,81.0,3441.0
82,82.0,3215.0
83,83.0,3396.0
84,84.0,3350.0
85,85.0,3405.0
86,86.0,3648.0
87,87.0,3414.0
88,88.0,3640.0
89,89.0,3209.0
90,90.0,3609.0
91,91.0,3696.0
92,92.0,3877.0
93,93.0,3424.0
94,94.0,3586.0
95,95.0,3423.0
96,96.0,3737.0
97,97.0,3755.0
98,98.0,3576.0
99,99.0,3860.0
100,100.0,3950.0
101,101.0,4101.0
102,102.0,4015.0
103,103.0,3783.0
104,104.0,3867.0
105,105.0,4022.0
106,106.0,3947.0
107,107.0,3933.0
108,108.0,3892.0
109,109.0,3874.0
110,110.0,4173.0
111,111.0,3978.0
112,112.0,4295.0
113,113.0,4460.0
114,114.0,4270.0
115,115.0,4236.0
116,116.0,4099.0
117,117.0,4413.0
118,118.0,4517.0
119,119.0,4199.0
120,120.0,4316.0
121,121.0,4583.0
122,122.0,4777.0
123,123.0,4267.0
124,124.0,4471.0
