,Instanz,Makespan
0,0,1351
1,1,1319
2,2,1425
3,3,1357
4,4,1559
5,5,1409
6,6,1470
7,7,1406
8,8,1405
9,9,1529
10,10,1496
11,11,1282
12,12,1458
13,13,1515
14,14,1299
15,15,1478
16,16,1391
17,17,1558
18,18,1356
19,19,1498
20,20,1281
21,21,1442
22,22,1408
23,23,1352
24,24,1479
25,25,1537
26,26,1407
27,27,1517
28,28,1572
29,29,1436
30,30,1560
31,31,1501
32,32,1244
33,33,1407
34,34,1378
35,35,1373
36,36,1375
37,37,1339
38,38,1454
39,39,1486
40,40,1498
41,41,1460
42,42,1466
43,43,1411
44,44,1573
45,45,1435
46,46,1492
47,47,1352
48,48,1419
49,49,1450
50,50,1443
51,51,1357
52,52,1392
53,53,1520
54,54,1478
55,55,1352
56,56,1420
57,57,1431
58,58,1310
59,59,1440
60,60,1416
61,61,1374
62,62,1481
63,63,1380
64,64,1394
65,65,1459
66,66,1294
67,67,1495
68,68,1470
69,69,1420
70,70,1355
71,71,1412
72,72,1452
73,73,1426
74,74,1388
75,75,1459
76,76,1368
77,77,1701
78,78,1452
79,79,1381
80,80,1406
81,81,1355
82,82,1347
83,83,1412
84,84,1243
85,85,1290
86,86,1413
87,87,1518
88,88,1375
89,89,1429
90,90,1359
91,91,1467
92,92,1435
93,93,1438
94,94,1270
95,95,1576
96,96,1544
97,97,1529
98,98,1386
99,99,1348
100,100,1461
101,101,1504
102,102,1503
103,103,1675
104,104,1461
105,105,1544
106,106,1464
107,107,1290
108,108,1415
109,109,1458
110,110,1367
111,111,1441
112,112,1541
113,113,1451
114,114,1430
115,115,1293
116,116,1581
117,117,1389
118,118,1470
119,119,1471
120,120,1441
121,121,1471
122,122,1335
123,123,1537
124,124,1427
125,125,1553
126,126,1485
127,127,1331
128,128,1407
129,129,1481
130,130,1193
131,131,1337
132,132,1596
133,133,1492
134,134,1548
135,135,1552
136,136,1363
137,137,1449
138,138,1328
139,139,1397
140,140,1494
141,141,1313
142,142,1371
143,143,1234
144,144,1318
145,145,1549
146,146,1300
147,147,1434
148,148,1452
149,149,1313
150,150,1462
151,151,1342
152,152,1373
153,153,1419
154,154,1391
155,155,1444
156,156,1398
157,157,1453
158,158,1405
159,159,1345
160,160,1337
161,161,1491
162,162,1444
163,163,1331
164,164,1234
165,165,1568
166,166,1564
167,167,1448
168,168,1507
169,169,1663
170,170,1366
171,171,1453
172,172,1444
173,173,1361
174,174,1653
175,175,1602
176,176,1306
177,177,1481
178,178,1391
179,179,1571
180,180,1546
181,181,1259
182,182,1446
183,183,1327
184,184,1371
185,185,1348
186,186,1468
187,187,1494
188,188,1282
189,189,1468
190,190,1357
191,191,1339
192,192,1380
193,193,1542
194,194,1368
195,195,1332
196,196,1456
197,197,1477
198,198,1485
199,199,1386
200,200,1394
201,201,1415
202,202,1345
203,203,1292
204,204,1588
205,205,1399
206,206,1354
207,207,1536
208,208,1546
209,209,1404
210,210,1459
211,211,1326
212,212,1442
213,213,1636
214,214,1626
215,215,1406
216,216,1381
217,217,1537
218,218,1357
219,219,1423
220,220,1380
221,221,1336
222,222,1393
223,223,1422
224,224,1409
225,225,1537
226,226,1346
227,227,1584
228,228,1375
229,229,1452
230,230,1463
231,231,1395
232,232,1548
233,233,1433
234,234,1386
235,235,1496
236,236,1512
237,237,1462
238,238,1506
239,239,1426
240,240,1363
241,241,1557
242,242,1311
243,243,1441
244,244,1522
245,245,1373
246,246,1469
247,247,1442
248,248,1321
249,249,1269
250,250,1398
251,251,1382
252,252,1419
253,253,1466
254,254,1539
255,255,1383
256,256,1376
257,257,1588
258,258,1354
259,259,1382
260,260,1350
261,261,1405
262,262,1407
263,263,1475
264,264,1292
265,265,1460
266,266,1494
267,267,1573
268,268,1384
269,269,1490
270,270,1266
271,271,1574
272,272,1346
273,273,1233
274,274,1397
275,275,1375
276,276,1379
277,277,1584
278,278,1280
279,279,1402
280,280,1350
281,281,1385
282,282,1443
283,283,1496
284,284,1316
285,285,1303
286,286,1356
287,287,1433
288,288,1563
289,289,1496
290,290,1466
291,291,1346
292,292,1334
293,293,1425
294,294,1481
295,295,1389
296,296,1453
297,297,1352
298,298,1459
299,299,1562
300,300,1671
301,301,1606
302,302,1613
303,303,1737
304,304,1640
305,305,1643
306,306,1641
307,307,1798
308,308,1540
309,309,1614
310,310,1673
311,311,1799
312,312,1633
313,313,1707
314,314,1706
315,315,1563
316,316,1640
317,317,1607
318,318,1730
319,319,1627
320,320,1792
321,321,1570
322,322,1628
323,323,1806
324,324,1687
325,325,1596
326,326,1694
327,327,1524
328,328,1648
329,329,1660
330,330,1589
331,331,1744
332,332,1752
333,333,1612
334,334,1531
335,335,1644
336,336,1635
337,337,1585
338,338,1664
339,339,1603
340,340,1629
341,341,1701
342,342,1681
343,343,1749
344,344,1600
345,345,1703
346,346,1611
347,347,1642
348,348,1622
349,349,1787
350,350,1816
351,351,1523
352,352,1485
353,353,1743
354,354,1699
355,355,1844
356,356,1552
357,357,1636
358,358,1498
359,359,1735
360,360,1524
361,361,1636
362,362,1620
363,363,1650
364,364,1574
365,365,1627
366,366,1713
367,367,1772
368,368,1637
369,369,1651
370,370,1759
371,371,1715
372,372,1756
373,373,1616
374,374,1615
375,375,1595
376,376,1672
377,377,1921
